# duration_ms: 36301
# ingress_avg: 28.780
# throughput_avg: 28.780
# capacity_avg: 37.116
# utilization: 77.541
seconds,ingress,throughput,capacity
0.0,0.02336,0.02336,72.43264
0.1,0.0,0.0,72.31232
0.2,0.0064,0.0064,71.47008
0.3,0.0,0.0,71.83104
0.4,0.0,0.0,71.83104
0.5,0.0,0.0,71.83104
0.6,0.0,0.0,71.47008
0.7,0.0,0.0,71.83104
0.8,0.0,0.0,72.07168
0.9,0.0,0.0,72.07168
1.0,0.0,0.0,8.06144
1.1,0.0,0.0,4.57216
1.2,0.0,0.0,4.45184
1.3,0.0,0.0,4.93312
1.4,0.0,0.0,4.57216
1.5,0.0,0.0,4.8128
1.6,0.0,0.0,4.33152
1.7,0.0,0.0,4.93312
1.8,0.0,0.0,4.69248
1.9,0.0,0.0,4.8128
2.0,0.0,0.0,48.48896
2.1,0.0,0.0,62.44608
2.2,0.0,0.0,71.47008
2.3,0.0,0.0,72.43264
2.4,0.0,0.0,71.95136
2.5,0.0,0.0,71.95136
2.6,0.0,0.0,71.83104
2.7,0.0,0.0,71.95136
2.8,0.0,0.0,72.192
2.9,0.0,0.0,72.07168
3.0,0.0,0.0,6.13632
3.1,0.0,0.0,4.33152
3.2,0.0,0.0,4.69248
3.3,0.0,0.0,4.93312
3.4,0.0,0.0,4.57216
3.5,0.0,0.0,4.33152
3.6,0.0,0.0,4.93312
3.7,0.0,0.0,4.93312
3.8,0.0,0.0,4.8128
3.9,0.0,0.0,4.57216
4.0,0.0,0.0,49.21088
4.1,0.0,0.0,61.9648
4.2,0.00416,0.00416,72.07168
4.3,0.0,0.0,72.55296
4.4,0.0,0.0,72.55296
4.5,0.0,0.0,71.83104
4.6,0.0,0.0,72.31232
4.7,0.0,0.0,71.83104
4.8,0.0,0.0,71.83104
4.9,0.0,0.0,71.47008
5.0,0.0,0.0,7.09888
5.1,0.0,0.0,4.45184
5.2,0.0,0.0,4.45184
5.3,0.0,0.0,4.33152
5.4,0.0,0.0,4.8128
5.5,0.0,0.0,4.57216
5.6,0.0,0.0,4.69248
5.7,0.0,0.0,5.05344
5.8,0.0,0.0,4.69248
5.9,0.0,0.0,4.8128
6.0,41.76656,41.76656,49.45152
6.1,94.27616,32.8956,62.20544
6.2,16.15632,72.54008,72.55296
6.3,54.17528,29.39784,72.43264
6.4,71.2076,71.95712,71.95136
6.5,3.58104,30.02408,71.95136
6.6,128.79736,71.9972,72.07168
6.7,0.08328,59.46512,71.47008
