# duration_ms: 36301
# ingress_avg: 28.780
# throughput_avg: 28.780
# capacity_avg: 37.116
# utilization: 77.541
seconds,ingress,throughput,capacity
0.0,0.002976,0.002976,71.915264
1.0,0.0,0.0,5.017344
2.0,0.0,0.0,68.678656
3.0,0.0,0.0,4.824832
4.0,0.000416,0.000416,68.76288
5.0,0.0,0.0,4.897024
6.0,54.233872,52.389056,68.774912
7.0,9.428272,4.651352,4.909056
8.0,66.155872,65.14884,68.798976
9.0,2.057016,4.934496,4.93312
10.0,68.462728,65.751808,68.630528
11.0,3.227256,4.972136,4.969216
12.0,66.989088,64.927744,68.690688
13.0,3.060696,5.017776,5.017344
14.0,66.397384,65.439664,68.678656
15.0,3.943464,4.967808,4.969216
16.0,66.563944,64.87336,68.750848
17.0,3.031392,4.684656,4.69248
18.0,67.021984,65.385376,68.798976
19.0,3.285552,4.901184,4.897024
20.0,66.005968,65.073232,68.726784
21.0,3.96012,4.942824,4.945152
22.0,67.096936,65.1232,68.738816
23.0,2.96076,4.851216,4.848896
24.0,66.439024,65.023264,68.750848
25.0,3.577032,5.017776,5.017344
26.0,67.180216,65.514616,68.726784
27.0,3.218928,4.984464,4.981248
28.0,66.988672,64.95664,68.654592
29.0,2.977416,4.942824,4.945152
30.0,67.180632,65.431752,68.786944
31.0,2.785872,4.343208,4.343552
32.0,67.546648,65.889376,69.220096
33.0,3.110664,5.00112,5.005312
34.0,65.964328,64.840048,68.690688
35.0,3.885168,4.884528,4.884992
36.0,0.003312,5.874872,18.46912
