# duration_ms: 36301
# ingress_avg: 28.780
# throughput_avg: 28.780
# capacity_avg: 37.116
# utilization: 77.541
seconds,ingress,throughput,capacity
0.0,0.005952,0.005952,71.975424
0.5,0.0,0.0,71.855104
1.0,0.0,0.0,5.318144
1.5,0.0,0.0,4.716544
2.0,0.0,0.0,65.357824
2.5,0.0,0.0,71.999488
3.0,0.0,0.0,4.93312
3.5,0.0,0.0,4.716544
4.0,0.000832,0.000832,65.670656
4.5,0.0,0.0,71.855104
5.0,0.0,0.0,5.029376
5.5,0.0,0.0,4.764672
6.0,55.516384,49.71144,65.718784
6.5,52.95136,55.066672,71.83104
7.0,17.390816,4.439152,4.957184
7.5,1.465728,4.863552,4.860928
8.0,60.246672,58.391168,65.69472
8.5,72.065072,71.906512,71.903232
9.0,4.114032,4.9968,5.005312
9.5,0.0,4.872192,4.860928
10.0,65.735152,59.69704,65.45408
10.5,71.190304,71.806576,71.806976
11.0,6.454512,5.155344,5.149696
11.5,0.0,4.788928,4.788736
12.0,61.654432,57.948144,65.478144
12.5,72.323744,71.907344,71.903232
13.0,6.121392,5.271936,5.270016
13.5,0.0,4.763616,4.764672
14.0,62.87032,59.172688,65.646592
14.5,69.924448,71.70664,71.71072
15.0,7.886928,5.205312,5.197824
15.5,0.0,4.730304,4.740608
16.0,61.687744,57.690304,65.45408
16.5,71.440144,72.056416,72.047616
17.0,6.062784,4.66368,4.668416
17.5,0.0,4.705632,4.716544
18.0,62.936944,58.94752,65.766912
18.5,71.107024,71.823232,71.83104
19.0,6.571104,5.08872,5.077504
19.5,0.0,4.713648,4.716544
20.0,61.654432,58.28992,65.598464
20.5,70.357504,71.856544,71.855104
21.0,7.92024,5.122032,5.125632
21.5,0.0,4.763616,4.764672
22.0,61.937584,58.339888,65.5744
22.5,72.256288,71.906512,71.903232
23.0,5.92152,5.055408,5.05344
23.5,0.0,4.647024,4.644352
24.0,61.854304,58.20664,65.670656
24.5,71.023744,71.839888,71.83104
25.0,7.154064,5.33856,5.342208
25.5,0.0,4.696992,4.69248
26.0,63.12016,59.172688,65.598464
26.5,71.240272,71.856544,71.855104
27.0,6.437856,5.172,5.17376
27.5,0.0,4.796928,4.788736
28.0,61.53784,58.106704,65.502208
28.5,72.439504,71.806576,71.806976
29.0,5.954832,5.105376,5.101568
29.5,0.0,4.780272,4.788736
30.0,62.821184,58.907024,65.622528
30.5,71.54008,71.95648,71.95136
31.0,5.571744,4.455792,4.45184
31.5,0.0,4.230624,4.235264
32.0,63.12016,59.605744,66.272256
32.5,71.973136,72.173008,72.167936
33.0,6.221328,5.221968,5.221888
33.5,0.0,4.780272,4.788736
34.0,61.387936,57.840208,65.550336
34.5,70.54072,71.839888,71.83104
35.0,7.770336,5.138688,5.149696
35.5,0.0,4.630368,4.620288
36.0,0.006624,11.749744,36.93824
